model	p1	p2	p3	p4	p5	p6	p7	p98
101				O				O
102	O	O	O		O		O	O
103	O	O	O		O		O	O
104	O	O	O		O		O	O
105	O	O	O		O		O	O
106	O	O	O		O		O	O
107				O				O
108	O	O			O			O
109	O	O	O					O
110	O	O	O		O		O	O
111				O				O
112	O	O	O		O		O	O
113	O	O	O		O		O	O
114	O	O	O		O		O	O
115	O	O	O		O		O	O
116	O	O	O		O		O	O
117	O	O	O		O		O	O
118	O	O	O		O		O	O
119	O	O	O		O		O	O
120				O				O
121	O	O	O		O		O	O
122	O	O	O		O		O	O
123	O	O	O		O		O	O
124				O				O
125				O				O
126				O				O
127				O				O
198	O	O	O	O	O	O	O	O
201	O	O	O		O		O	O
202	O	O	O		O		O	O
203	O	O	O		O		O	O
204	O	O	O		O		O	O
205	O	O	O		O		O	O
206			O	O	O	O		O
207	O	O	O		O		O	O
208	O	O	O		O		O	O
209	O	O	O		O		O	O
210	O	O	O		O		O	O
211	O	O	O		O		O	O
212	O	O	O		O		O	O
213	O	O	O		O		O	O
214	O	O	O		O		O	O
215	O	O	O		O		O	O
216	O	O	O		O		O	O
217	O	O	O		O		O	O
218				O				O
219				O				O
220				O				O
221				O				O
222	O	O	O		O		O	O
223	O	O	O		O		O	O
224	O	O	O		O		O	O
225	O	O	O		O		O	O
226	O	O	O		O			O
227	O	O	O	O	O		O	O
228			O		O			O
229				O				O
230	O	O	O		O		O	O
231	O	O	O		O		O	O
298	O	O	O	O	O		O	O
301	O	O						O
302	O	O	O	O	O		O	O
303	O	O	O	O	O		O	O
304				O				O
305	O	O	O		O		O	O
306				O				O
307	O	O	O	O	O		O	O
308				O				O
309	O	O	O		O		O	O
310				O				O
398	O	O	O	O	O	O	O	O
401	O	O	O		O		O	O
402	O	O	O		O		O	O
403	O	O	O		O		O	O
404	O	O	O		O		O	O
405	O	O	O		O		O	O
406	O	O	O		O		O	O
407				O				O
408	O	O	O		O		O	O
409	O	O	O		O		O	O
410	O	O	O		O		O	O
411				O				
498	O	O	O	O	O	O	O	O
501	O	O	O		O		O	O
502	O	O	O		O		O	O
503	O	O	O		O		O	O
504	O	O	O		O		O	O
505				O				O
506	O	O	O		O		O	O
507	O	O	O		O		O	O
508	O	O	O		O		O	O
509	O	O	O		O		O	O
510				O				O
511	O	O	O		O		O	O
512	O	O	O		O		O	O
513				O				O
514	O							O
515			O					O
598	O	O	O	O	O	O	O	O
601	O	O	O		O		O	O
602	O	O	O		O		O	O
603	O	O	O		O		O	O
604	O	O	O		O		O	O
605				O				O
606				O				O
607	O	O	O		O		O	O
608				O				O
609	O	O	O		O		O	O
610	O	O	O		O		O	O
611	O	O	O		O		O	O
612	O	O	O		O		O	O
613	O	O	O		O		O	O
614	O	O	O		O		O	O
615	O	O	O		O		O	O
616	O	O	O		O		O	O
617	O	O	O		O		O	O
618	O	O	O		O		O	O
619	O	O	O		O		O	O
620	O	O	O		O		O	O
621	O	O	O		O		O	O
622	O	O	O		O		O	O
698	O	O	O	O	O	O	O	O
701	O	O	O		O		O	O
702	O	O	O		O		O	O
703	O	O	O		O		O	O
704	O	O	O		O		O	O
705	O	O	O		O		O	O
706	O	O	O		O		O	O
707	O	O	O		O		O	O
708	O	O	O		O		O	O
709	O	O	O		O		O	O
710	O	O	O		O		O	O
711	O	O	O		O		O	O
712				O				O
713				O				O
714				O				O
715				O				O
716				O				O
717				O				O
718				O				O
719				O				O
720	O	O	O		O		O	O
721	O	O	O		O		O	O
722	O	O	O		O		O	O
723	O	O	O		O		O	O
724	O	O	O		O		O	O
725	O	O	O		O		O	O
726	O	O	O		O		O	O
727	O	O	O		O		O	O
728	O	O	O		O		O	O
729	O	O	O		O		O	O
730	O	O	O		O		O	O
731	O	O	O		O		O	O
732	O	O	O		O		O	O
733	O	O	O		O		O	O
734	O	O	O		O		O	O
